# Unicode CLDR 48.2 emoji annotations (English and Korean).
# Source: https://github.com/unicode-org/cldr/tree/release-48-2/common
# Copyright © 1991-2025 Unicode, Inc.
# SPDX-License-Identifier: Unicode-3.0
# emoji\tEnglish short name\tEnglish keywords\tKorean short name\tKorean keywords
🤪	zany face	crazy | eye | eyes | face | goofy | large | small | zany	괴짜 얼굴	괴짜 | 괴짜 얼굴 | 눈 | 엉뚱한 얼굴 | 익살스러운 얼굴 | 장난스러운 눈 | 정신이 나간 | 환한 미소
😝	squinting face with tongue	closed | eye | eyes | face | gross | horrible | omg | squinting | stuck-out | taste | tongue | whatever | yolo	눈을 감고 메롱하는 얼굴	끔찍한 | 눈 | 눈을 감고 메롱하는 얼굴 | 눈을 감고 혀를 내민 얼굴 | 맙소사 | 맛 | 아무거나 | 얼굴 | 역겨운 | 오마이갓 | 욜로 | 혀
🤑	money-mouth face	face | money | money-mouth | mouth | paid	돈 모양의 입이 있는 얼굴	계산한 | 돈 | 돈 모양의 입이 있는 얼굴 | 얼굴 | 욕심 | 입 | 입에 돈을 물고 있는 얼굴 | 탐욕
🤗	smiling face with open hands	face | hands | hug | hugging | open | smiling	포옹하고 있는 얼굴	반가워하는 얼굴 | 손 | 얼굴 | 포옹 | 포옹하고 있는 얼굴 | 환영
🤭	face with hand over mouth	face | giggle | giggling | hand | mouth | oops | realization | secret | shock | sudden | surprise | whoops	손으로 입을 가린 얼굴	갑자기 깨달은 | 비밀 | 손으로 입을 가린 얼굴 | 앗 | 웁스 | 입을 가리고 웃는 얼굴 | 충격 | 큭큭거리는
🫢	face with open eyes and hand over mouth	amazement | awe | disbelief | embarrass | eyes | face | gasp | hand | mouth | omg | open | over | quiet | scared | shock | surprise	눈을 뜨고 손으로 입을 가린 얼굴	감탄 | 깜짝 놀란 얼굴 | 놀람 | 눈을 뜨고 손으로 입을 가린 얼굴 | 당황 | 믿기지 않음 | 서프라이즈 | 쇼킹 | 오마이갓 | 충격
🫣	face with peeking eye	captivated | embarrass | eye | face | hide | hiding | peek | peeking | peep | scared | shy | stare	한쪽 눈을 가리고 훔쳐보는 얼굴	당황 | 매료됨 | 몰래 보는 | 무서운 | 부끄러운 | 빤히 쳐다보기 | 숨은 | 한쪽 눈을 가리고 훔쳐보는 얼굴 | 훔쳐보기
🤫	shushing face	face | quiet | shh | shush | shushing	쉿 하는 얼굴	쉿 | 쉿 하는 얼굴 | 조용
🤔	thinking face	chin | consider | face | hmm | ponder | pondering | thinking | wondering	생각하는 얼굴	고려해서 | 곰곰히 | 생각 중 | 생각에 잠긴 얼굴 | 생각하는 얼굴 | 얼굴 | 음 | 턱
🫡	saluting face	OK | face | good | luck | ma’am | respect | salute | saluting | sir | troops | yes	경례하는 얼굴	경례 | 경례하는 얼굴 | 군대 | 굿 럭 | 네 | 알았어 | 응 | 인사 | 존경 | 행운을 빌어 | 화창
🤐	zipper-mouth face	face | keep | mouth | quiet | secret | shut | zip | zipper | zipper-mouth	지퍼로 입을 잠근 얼굴	말하지 마 | 비밀 | 비밀 지켜 | 얼굴 | 입 | 입 다문 | 지퍼 | 지퍼로 입을 잠근 얼굴
🤨	face with raised eyebrow	disapproval | disbelief | distrust | emoji | eyebrow | face | hmm | mild | raised | skeptic | skeptical | skepticism | surprise | what	눈썹을 치켜올린 얼굴	눈썹을 치켜올린 얼굴 | 못마땅한 | 믿을 수 없는 | 불신 | 의심 | 의심하는 얼굴 | 회의적인
😐	neutral face	awkward | blank | deadpan | expressionless | face | fine | jealous | meh | neutral | oh | shade | straight | unamused | unhappy | unimpressed | whatever	덤덤한 얼굴	감동 없는 | 나쁜 | 덤덤한 얼굴 | 무표정한 | 부러운 | 얼굴 | 오 | 웃음기없는 | 정색하는 얼굴 | 죽음 | 질투
😑	expressionless face	awkward | dead | expressionless | face | fine | inexpressive | jealous | meh | not | oh | omg | straight | uh | unhappy | unimpressed | whatever	무표정한 얼굴	감정없는 | 나쁜 | 무표정한 | 뭐든지 | 부러운 | 불행 | 악 | 어색한 | 얼굴 | 오 | 죽음 | 표정 없는 얼굴
😶	face without mouth	awkward | blank | expressionless | face | mouth | mouthless | mute | quiet | secret | silence | silent | speechless	입이 없는 얼굴	말이 없는 | 비밀 | 얼굴 | 이상한 | 입 꾹 | 입 없음 | 입이 없는 얼굴 | 조용한
🫥	dotted line face	depressed | disappear | dotted | face | hidden | hide | introvert | invisible | line | meh | whatever | wtv	테두리가 점선으로 된 얼굴	내성적 | 보이지 않음 | 사라짐 | 숨기 | 숨은 | 어쩌라고 | 우울 | 우울한 | 좌절 | 테두리가 점선으로 된 얼굴 | 헐
😶‍🌫	face in clouds	absentminded | clouds | face | fog | head	공상에 잠긴 얼굴	공상에 잠긴 얼굴 | 멍 | 멍청한 얼굴 | 멍함 | 안개 속 얼굴 | 엉뚱한 생각에 잠긴 얼굴
😏	smirking face	boss | dapper | face | flirt | homie | kidding | leer | shade | slick | sly | smirk | smug | snicker | suave | suspicious | swag	히죽거리는 얼굴	교활한 | 낄낄거리는 | 농담 | 눈썹 | 멋부리는 | 바람 | 보스 | 웃는 얼굴 | 음흉한 | 의심스러운 | 히죽거리는 얼굴 | 히죽히죽
😒	unamused face	... | bored | face | fine | jealous | jel | jelly | pissed | smh | ugh | uhh | unamused | unhappy | weird | whatever	지루해하는 얼굴	됐어 | 부러운 | 불행 | 어 | 얼굴 | 이상한 | 재미없어 하는 얼굴 | 절레절레 | 지루함 | 지루해하는 얼굴 | 질투 | 짜증난
🙄	face with rolling eyes	eyeroll | eyes | face | rolling | shade | ugh | whatever	눈을 굴리고 있는 얼굴	눈 | 눈 굴리기 | 눈알 | 눈을 굴리고 있는 얼굴 | 무엇이든 | 미묘한 | 얼굴 | 윽
😬	grimacing face	awk | awkward | dentist | face | grimace | grimacing | grinning | smile | smiling	찌푸린 얼굴	미소 | 스마일 | 아무것도 아님 | 얼굴 | 이상함 | 찌푸린 얼굴 | 찡그림 | 치과의사
😮‍💨	face exhaling	blow | blowing | exhale | exhaling | exhausted | face | gasp | groan | relief | sigh | smiley | smoke | whisper | whistle	날숨 쉬는 얼굴	날숨 | 날숨 쉬는 얼굴 | 내쉼 | 담배 | 미소 | 속삭임 | 안도 | 입김 | 지친 | 한숨 | 휘파람
🤥	lying face	face | liar | lie | lying | pinocchio	거짓말하는 얼굴	거짓말 | 거짓말쟁이 | 거짓말하는 얼굴 | 얼굴 | 피노키오
🫨	shaking face	crazy | daze | earthquake | face | omg | panic | shaking | shock | surprise | vibrate | whoa | wow	요동치는 얼굴	깜짝 놀람 | 떨고 있음 | 얼굴 | 요동치는 얼굴 | 요동침 | 지진 | 충격
🙂‍↔	head shaking horizontally	head | horizontally | no | shake | shaking	도리도리	고개를 흔들다 | 도리도리 | 부정 | 아니요
🙂‍↕	head shaking vertically	head | nod | shaking | vertically | yes	끄덕끄덕	고개를 끄덕이다 | 긍정 | 끄덕끄덕 | 예 | 주억거리다
😌	relieved face	calm | face | peace | relief | relieved | zen	안심한 얼굴	안도 | 안심한 얼굴 | 얼굴 | 평화 | 표정
😔	pensive face	awful | bored | dejected | died | disappointed | face | losing | lost | pensive | sad | sucks	수심 어린 얼굴	낙담 | 낙담한 얼굴 | 상실 | 수심 어린 얼굴 | 수심에 찬 얼굴 | 슬픈 | 실망한 | 얼굴 | 죽은 | 지루한
😪	sleepy face	crying | face | good | night | sad | sleep | sleeping | sleepy | tired	졸린 얼굴	슬픈 | 얼굴 | 잠 | 졸린 얼굴 | 졸림 | 피곤한
🤤	drooling face	drooling | face	침 흘리는 얼굴	얼굴 | 주르륵 | 침 | 침 흘리는 얼굴 | 침흘리기
😴	sleeping face	bed | bedtime | face | good | goodnight | nap | night | sleep | sleeping | tired | whatever | yawn | zzz	졸고 있는 얼굴	낮잠 | 어쨌든 | 얼굴 | 자고 있는 얼굴 | 자는 시간 | 자는 얼굴 | 잘자 | 잠 | 졸고 있는 얼굴 | 침대 | 쿨쿨쿨 | 하품
🫩	face with bags under eyes	bags | bored | exhausted | eyes | face | fatigued | late | sleepy | tired | weary	다크서클이 있는 얼굴	눈 | 늦은 | 다크서클 | 부종 | 얼굴 | 졸린 | 지루한 | 지친 | 피곤한 | 피로한 | 힘든
😷	face with medical mask	cold | dentist | dermatologist | doctor | dr | face | germs | mask | medical | medicine | sick	마스크 낀 얼굴	감기 | 마스크 | 마스크 낀 얼굴 | 병균 | 세균 | 아픈 | 약 | 얼굴 | 의사 | 의학 | 치과의사 | 피부과 의사 | 황사
🤒	face with thermometer	face | ill | sick | thermometer	체온계를 물고 있는 얼굴	병 | 아픈 | 아픔 | 얼굴 | 체온계 | 체온계를 물고 있는 얼굴
🤕	face with head-bandage	bandage | face | head-bandage | hurt | injury | ouch	머리에 붕대를 감은 얼굴	머리에 붕대를 감은 얼굴 | 부상 | 붕대 | 상처 | 상처난 | 아야 | 아픈 | 얼굴
🤢	nauseated face	face | gross | nasty | nauseated | sick | vomit	구역질을 하는 얼굴	구역질을 하는 얼굴 | 구토 | 끔찍한 | 메스꺼운 | 속 울렁거림 | 아픈 | 얼굴 | 역겨운 | 토하기
🤮	face vomiting	barf | ew | face | gross | puke | sick | spew | throw | up | vomit | vomiting	토하는 얼굴	멀미 | 쏠려 | 아픈 | 토 | 토하는 | 토하는 얼굴
🤧	sneezing face	face | fever | flu | gesundheit | sick | sneeze | sneezing	재채기하는 얼굴	감기 | 독감 | 몸조심하세요 | 아픈 | 얼굴 | 에취 | 열 | 재채기 | 재채기하는 얼굴 | 휴지
🥵	hot face	dying | face | feverish | heat | hot | panting | red-faced | stroke | sweating | tongue	더운 얼굴	더운 | 더운 얼굴 | 더워 죽는 | 더위 먹은 | 땀 흘리는 | 빨개진 | 열나는 | 헐떡이는
🥶	cold face	blue | blue-faced | cold | face | freezing | frostbite | icicles | subzero | teeth	추워하는 얼굴	고드름 | 동상 | 새파랗게 질린 | 얼어붙은 | 이를 떠는 | 추운 | 추워하는 얼굴
🥴	woozy face	dizzy | drunk | eyes | face | intoxicated | mouth | tipsy | uneven | wavy | woozy	헤롱헤롱 얼굴	맛이 간 | 비뚤거리는 입 | 어지러운 | 짝짝이 눈 | 취한 | 헤롱거리는 | 헤롱헤롱 얼굴
😵	face with crossed-out eyes	crossed-out | dead | dizzy | eyes | face | feels | knocked | out | sick | tired	어지러운 얼굴	아픔 | 어지러운 얼굴 | 어지러움 | 얼굴 | 죽음 | 피곤함
😵‍💫	face with spiral eyes	confused | dizzy | eyes | face | hypnotized | omg | smiley | spiral | trouble | whoa | woah | woozy	현기증 난 얼굴	나선형 눈 | 미소 | 어지럼증 | 오마이갓 | 우와 | 헷갈림 | 현기증 | 현기증 난 얼굴 | 혼란
🤯	exploding head	blown | explode | exploding | head | mind | mindblown | no | shocked | way	폭발하는 얼굴	그럴리 없어 | 뚜껑 열린 머리 | 머리 폭발 | 충격 | 충격받은 | 폭발하는 얼굴
🤠	cowboy hat face	cowboy | cowgirl | face | hat	카우보이 모자 쓴 얼굴	모자 | 얼굴 | 카우걸 | 카우보이 | 카우보이 모자 쓴 얼굴
🥳	partying face	bday | birthday | celebrate | celebration | excited | face | happy | hat | hooray | horn | party | partying	파티하는 얼굴	고깔모자 | 나팔 | 모자 | 생일 | 신나는 | 얼굴 | 축하 | 파티 | 파티하는 얼굴
🥸	disguised face	disguise | eyebrow | face | glasses | incognito | moustache | mustache | nose | person | spy | tache | tash	변장한 얼굴	가면 | 눈썹 | 변장 | 변장한 얼굴 | 사람 | 수염 | 스파이 | 안경 | 얼굴 | 코 | 콧수염
😎	smiling face with sunglasses	awesome | beach | bright | bro | chilling | cool | face | rad | relaxed | shades | slay | smile | style | sunglasses | swag | win	선글라스 낀 얼굴	개성있는 | 눈부신 | 멋짐 | 미소 | 밝은 | 선글라스 | 선글라스 끼고 웃는 얼굴 | 선글라스 낀 얼굴 | 스웩 | 스타일 | 안경류 | 얼굴
🤓	nerd face	brainy | clever | expert | face | geek | gifted | glasses | intelligent | nerd | smart	모범생 얼굴	공부벌레 | 괴짜 | 모범생 | 범생이 | 샌님 | 스마트 | 안경 | 얼굴 | 전문가 | 총명 | 현명
🧐	face with monocle	classy | face | fancy | monocle | rich | stuffy | wealthy	단안경을 쓴 얼굴	단안경을 쓴 얼굴 | 부자 | 클래식한 | 화려한
😕	confused face	befuddled | confused | confusing | dunno | face | frown | hm | meh | not | sad | sorry | sure	혼란스러워하는 얼굴	모르겠어 | 몰라 | 슬퍼 | 얼굴 | 정신이 없는 | 찡그린 | 헷갈림 | 혼란스러운 | 혼란스러워하는 얼굴 | 확신없는
🫤	face with diagonal mouth	confused | confusion | diagonal | disappointed | doubt | doubtful | face | frustrated | frustration | meh | mouth | skeptical | unsure | whatever | wtv	입이 한쪽으로 올라간 얼굴	별로 | 실망 | 의문 | 의심 | 입이 한쪽으로 올라간 얼굴 | 헷갈리는 | 혼란 | 확신이 없음 | 회의적인
😟	worried face	anxious | butterflies | face | nerves | nervous | sad | stress | stressed | surprised | worried | worry	걱정스러운 얼굴	걱정 | 걱정스러운 얼굴 | 걱정스러움 | 긴장한 | 놀람 | 스트레스 | 슬픔 | 얼굴 | 염려스러운 | 울렁거림
🙁	slightly frowning face	face | frown | frowning | sad | slightly	살짝 찡그린 얼굴	살짝 찡그린 얼굴 | 슬픔 | 얼굴 | 찡그린 얼굴 | 찡그림
☹	frowning face	face | frown | frowning | sad	찡그린 얼굴	슬픔 | 얼굴 | 찡그린 얼굴 | 찡그림
😮	face with open mouth	believe | face | forgot | mouth | omg | open | shocked | surprised | sympathy | unbelievable | unreal | whoa | wow | you	입벌린 얼굴	놀람 | 맙소사 | 믿을 수 없는 | 얼굴 | 오마이갓 | 와 | 입벌린 얼굴 | 입벌림 | 잊어버린 | 충격
😯	hushed face	epic | face | hushed | omg | stunned | surprised | whoa | woah	숨죽인 얼굴	놀란 | 맙소사 | 망연자실한 | 먹먹한 | 숨죽인 | 숨죽임 | 얼굴 | 엄청난 | 후아
😲	astonished face	astonished | cost | face | no | omg | shocked | totally | way	깜짝 놀란 얼굴	깜짝 놀란 얼굴 | 놀라움 | 놀란 얼굴 | 뭐라구 | 비용 | 어이없음 | 얼굴 | 오마이갓 | 충격
😳	flushed face	amazed | awkward | crazy | dazed | dead | disbelief | embarrassed | face | flushed | geez | heat | hot | impressed | jeez | what | wow	상기된 얼굴	눈을 크게 뜬 얼굴 | 달아오른 얼굴 | 당황스러워 | 말도 안돼 | 뭐 | 붉힌 | 붉힌열이 오른 | 상기된 | 얼굴 | 얼굴 붉힘 | 충격적 | 황당해
🫪	distorted face	anxiety | bloated | panic | shocked | surprised | vulnerable	왜곡된 얼굴	공황 | 놀람 | 부은 | 부푼 | 불안 | 충격
🥺	pleading face	begging | big | eyes | face | mercy | not | pleading | please | pretty | puppy | sad | why	애원하는 얼굴	강아지 눈 | 글썽이는 눈 | 너무 슬프지 않니 | 애원하는 | 애원하는 얼굴 | 자비 | 자비를 구하는 | 큰 눈
🥹	face holding back tears	admiration | aww | back | cry | embarrassed | face | feelings | grateful | gratitude | holding | joy | please | proud | resist | sad | tears	눈물을 참는 얼굴	감사 | 감정 | 감탄 | 기쁨의 눈물 | 눈물을 참는 얼굴 | 당황 | 슬픔 | 아 | 오 | 울음 | 자랑스러움 | 제발
😦	frowning face with open mouth	caught | face | frown | frowning | guard | mouth | open | scared | scary | surprise | what | wow	입 벌리고 찌푸린 얼굴	겁먹은 | 놀람 | 무서운 | 뭐 | 벌린 | 얼굴 | 와우 | 입 | 입 벌리고 불쾌한 얼굴 | 입 벌리고 찌푸린 얼굴 | 찌푸린 얼굴 | 허를 찔리다
😧	anguished face	anguished | face | forgot | scared | scary | stressed | surprise | unhappy | what | wow	괴로워하는 얼굴	겁먹은 | 고민이 많은 | 괴로움 | 괴로워하는 얼굴 | 까먹은 | 놀람 | 무서운 | 불행 | 스트레스 | 얼굴 | 와우
😨	fearful face	afraid | anxious | blame | face | fear | fearful | scared | worried	두려워하는 얼굴	걱정스러운 | 공포 | 공포에 가득찬 얼굴 | 두려움 | 두려워하는 얼굴 | 비난 | 얼굴 | 염려되는
😰	anxious face with sweat	anxious | blue | cold | eek | face | mouth | nervous | open | rushed | scared | sweat | yikes	땀 흘리며 불안해하는 얼굴	긴장한 | 달콤 | 땀 흘리며 불안해하는 얼굴 | 새파랗게 질린 | 서두른 | 식은땀 | 얼굴 | 입 | 추운
😥	sad but relieved face	anxious | call | close | complicated | disappointed | face | not | relieved | sad | sweat | time | whew	실망했지만 안도하는 얼굴	구사일생 | 복잡한 | 슬픈 | 실망감 | 실망하는 얼굴 | 실망했지만 안도하는 얼굴 | 안도감 | 얼굴 | 지금 말고 | 휴
😢	crying face	awful | cry | crying | face | feels | miss | sad | tear | triste | unhappy	우는 얼굴	감정 | 그리움 | 끔찍한 | 눈물 | 불행 | 얼굴 | 우는 얼굴 | 울음
😭	loudly crying face	bawling | cry | crying | face | loudly | sad | sob | tear | tears | unhappy	엉엉 우는 얼굴	눈물 | 대성통곡 | 불행 | 슬픔 | 얼굴 | 엉엉 | 엉엉 우는 얼굴 | 울음 | 훌쩍
😱	face screaming in fear	epic | face | fear | fearful | munch | scared | scream | screamer | screaming | shocked | surprised | woah	공포에 절규하는 얼굴	공포 | 공포에 절규하는 얼굴 | 두려운 | 무서운 | 뭉크 | 비명 | 소리 지르는 얼굴 | 얼굴 | 충격받은 | 후아
😖	confounded face	annoyed | confounded | confused | cringe | distraught | face | feels | frustrated | mad | sad	당혹한 얼굴	당혹한 얼굴 | 당혹함 | 당황한 얼굴 | 민망함 | 슬픔 | 어이없음 | 얼굴 | 좌절함 | 짜증남 | 혼란스러움
😣	persevering face	concentrate | concentration | face | focus | headache | persevere | persevering	참아내는 얼굴	두통 | 머리아픈 | 실수한 후 얼굴 | 얼굴 | 얼빠짐 | 인내하는 얼굴 | 집중하는 | 참아내는 얼굴 | 초집중
😞	disappointed face	awful | blame | dejected | disappointed | face | fail | losing | sad | unhappy	실망한 얼굴	끔찍한 | 낙담한 | 불행 | 비난 | 상실 | 슬픔 | 실망 | 실망한 얼굴 | 실패 | 얼굴
😓	downcast face with sweat	close | cold | downcast | face | feels | headache | nervous | sad | scared | sweat | yikes	식은땀 흘리는 얼굴	겁먹은 | 긴장한 | 느낌 | 땀흘리는 | 슬픔 | 식은땀 | 식은땀 흘리는 얼굴 | 아슬아슬한 | 아이쿠 | 얼굴
😩	weary face	crying | face | fail | feels | hungry | mad | nooo | sad | sleepy | tired | unhappy | weary	지친 얼굴	배고픈 | 불행 | 실패 | 아니 | 안돼 | 얼굴 | 우는 | 졸린 | 지친 얼굴 | 지침
😫	tired face	cost | face | feels | nap | sad | sneeze | tired	피곤한 얼굴	낮잠 | 느낌 | 비용 | 슬픔 | 얼굴 | 재채기 | 피곤한 얼굴 | 피곤함
🥱	yawning face	bedtime | bored | face | goodnight | nap | night | sleep | sleepy | tired | whatever | yawn | yawning | zzz	하품하는 얼굴	아무튼 | 안녕히 주무세요 | 잘 시간 | 잘자 | 지루함 | 쿨쿨쿨 | 피곤함 | 하품 | 하품하는 얼굴
😤	face with steam from nose	anger | angry | face | feels | fume | fuming | furious | fury | mad | nose | steam | triumph | unhappy | won	화내며 씩씩거리는 얼굴	느낌 | 분노 | 불행 | 승리감 | 얼굴 | 열받은 | 이겼다 | 화가난 | 화내며 씩씩거리는 얼굴
😡	enraged face	anger | angry | enraged | face | feels | mad | maddening | pouting | rage | red | shade | unhappy | upset	뾰로통한 얼굴	느낌 | 불행한 | 뾰로통한 얼굴 | 뾰로통함 | 새빨간 | 얼굴 | 열받은 | 화난
